#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$39,229,677,772",$2399.51,"16,349,037","$1,539,420,000",-1.71%,4.65%,31.40%
2,Ethereum,ETH,"$17,707,728,697",$192.71,"91,888,436","$496,608,000",-11.37%,6.34%,114.03%
3,Ripple,XRP,"$12,350,294,997",$0.320516,"38,532,538,149*","$139,165,000",-1.49%,-4.61%,-15.79%
4,NEM,XEM,"$2,318,778,000",$0.257642,"8,999,999,999*","$21,183,500",-1.34%,1.56%,116.04%
5,Litecoin,LTC,"$1,645,381,118",$32.11,"51,249,357","$192,303,000",-2.54%,5.95%,28.11%
6,Ethereum Classic,ETC,"$1,474,774,568",$16.04,"91,933,808","$257,313,000",-20.37%,48.26%,169.70%
7,Dash,DASH,"$1,104,487,804",$150.98,"7,315,506","$47,371,200",-2.82%,12.71%,79.34%
8,Monero,XMR,"$833,906,085",$57.45,"14,514,099","$94,660,200",3.65%,32.19%,111.98%
9,Bytecoin,BCN,"$652,156,601",$0.003565,"182,932,101,579","$11,908,400",-0.15%,-8.48%,187.89%
10,Stellar Lumens,XLM,"$533,526,110",$0.055430,"9,625,153,528*","$27,706,000",-1.41%,-3.15%,20.99%
11,Golem,GNT,"$430,160,025",$0.521487,"824,872,000*","$30,877,800",5.71%,34.30%,167.29%
12,Dogecoin,DOGE,"$418,029,288",$0.003817,"109,508,005,024","$60,198,000",1.38%,-3.26%,206.11%
13,Zcash,ZEC,"$355,592,083",$259.17,"1,372,031","$56,838,300",-1.28%,2.63%,187.62%
14,Augur,REP,"$343,941,400",$31.27,"11,000,000*","$14,643,900",5.74%,29.16%,112.83%
15,Stratis,STRAT,"$329,403,206",$3.35,"98,397,165*","$14,877,700",0.76%,44.14%,164.29%
16,Steem,STEEM,"$311,722,628",$1.33,"233,514,089","$5,522,790",1.63%,9.21%,58.02%
17,Gnosis,GNO,"$311,197,245",$281.73,"1,104,590*","$5,104,690",5.61%,21.91%,131.99%
18,Waves,WAVES,"$285,086,000",$2.85,"100,000,000*","$2,737,940",0.67%,7.11%,103.70%
19,BitShares,BTS,"$257,212,387",$0.098859,"2,601,800,000*","$19,446,700",1.50%,7.09%,111.87%
20,Siacoin,SC,"$254,029,711",$0.009666,"26,280,476,222","$30,543,100",0.03%,2.66%,144.95%
21,MaidSafeCoin,MAID,"$211,067,277",$0.466393,"452,552,412*","$4,072,240",1.07%,16.05%,50.21%
22,GameCredits,GAME,"$210,832,571",$3.35,"62,863,975","$4,247,090",0.98%,2.02%,65.08%
23,DigixDAO,DGD,"$203,824,000",$101.91,"2,000,000*","$3,656,060",5.24%,16.83%,98.38%
24,Ardor,ARDR,"$162,073,682",$0.162236,"998,999,495*","$2,739,390",2.48%,4.84%,83.45%
25,Lisk,LSK,"$157,823,331",$1.47,"107,398,610*","$23,026,900",1.78%,66.42%,166.84%
26,Factom,FCT,"$143,531,784",$16.40,"8,753,219*","$9,124,820",0.68%,21.57%,93.56%
27,DigiByte,DGB,"$134,984,513",$0.016650,"8,107,031,908","$24,499,500",-1.72%,8.35%,130.18%
28,Round,ROUND,"$131,210,250",$0.154365,"850,000,000*","$404,556",0.03%,6.34%,3.14%
29,Decred,DCR,"$125,568,506",$25.32,"4,959,164","$3,280,850",-0.97%,16.91%,26.68%
30,Iconomi,ICN,"$123,219,840",$1.42,"87,000,000*","$1,769,590",-0.57%,1.95%,87.54%
31,SingularDTV,SNGLS,"$110,548,800",$0.184248,"600,000,000*","$335,430",1.71%,3.24%,8.28%
32,BitConnect,BCC,"$86,757,500",$13.54,"6,406,881","$778,872",-1.05%,3.78%,34.38%
33,Nxt,NXT,"$84,345,269",$0.084430,"998,999,983*","$5,797,950",1.08%,3.52%,50.58%
34,FirstBlood,1ST,"$83,574,186",$0.976809,"85,558,371*","$5,348,900",2.34%,20.70%,122.22%
35,Aragon,ANT,"$79,872,425",$2.38,"33,605,167*","$3,877,760",2.97%,29.65%,?
36,Tether,USDT,"$70,343,560",$1.03,"68,394,322*","$72,682,400",-0.49%,1.85%,6.61%
37,AntShares,ANS,"$62,065,000",$1.24,"50,000,000*","$12,741,400",5.37%,63.16%,149.54%
38,ReddCoin,RDD,"$61,354,863",$0.002152,"28,514,864,001*","$7,966,200",13.49%,72.79%,2214.35%
39,Byteball,GBYTE,"$58,224,665",$307.61,"189,284*","$227,587",-0.31%,3.99%,32.89%
40,SysCoin,SYS,"$55,008,612",$0.104784,"524,971,483","$2,559,600",0.16%,2.39%,61.71%
41,Peercoin,PPC,"$52,973,205",$2.20,"24,108,756","$3,113,740",0.38%,5.45%,28.39%
42,Komodo,KMD,"$52,929,264",$0.524335,"100,945,510","$492,190",0.61%,6.93%,53.88%
43,PIVX,PIVX,"$51,327,146",$0.959716,"53,481,598*","$1,283,320",5.35%,-6.99%,-10.11%
44,Emercoin,EMC,"$49,152,884",$1.23,"40,117,926","$1,248,710",3.29%,-5.40%,34.99%
45,iExec RLC,RLC,"$41,012,539",$0.525325,"78,070,793*","$507,495",-2.51%,10.71%,9.89%
46,Melon,MLN,"$37,054,728",$61.82,"599,400*","$475,850",-1.09%,2.81%,76.85%
47,Storjcoin X,SJCX,"$36,761,047",$0.718366,"51,173,144*","$662,397",1.25%,9.06%,4.30%
48,Counterparty,XCP,"$35,349,637",$13.50,"2,618,821*","$1,047,220",0.29%,19.67%,69.72%
49,Namecoin,NMC,"$32,688,430",$2.22,"14,736,400","$1,411,250",0.33%,3.84%,30.98%
50,EarthCoin,EAC,"$32,510,195",$0.003478,"9,346,468,332","$9,361,430",0.84%,-10.42%,202.52%
51,Lykke,LKK,"$32,345,987",$0.219214,"147,554,386*","$263,898",1.72%,8.89%,25.16%
52,BitcoinDark,BTCD,"$31,566,039",$24.49,"1,288,862","$184,865",1.78%,7.92%,47.70%
53,YbCoin,YBC,"$30,654,840",$10.15,"3,020,241*","$13,206,800",3.92%,25.26%,136.30%
54,Ark,ARK,"$30,647,861",$0.322193,"95,122,678*","$446,947",-2.90%,27.64%,60.34%
55,WeTrust,TRST,"$28,617,143",$0.310558,"92,147,500*","$1,129,800",-0.22%,38.33%,114.15%
56,Synereo,AMP,"$27,178,559",$0.330413,"82,256,324*","$1,636,960",-0.10%,22.19%,59.65%
